,Address,Bath,Bed,Price,Property Type,sf
455,103-2962 Trethewey Street,2,2,"$339,000",R2276685,921
456,54-32633 Simon Avenue,3,3,"$529,000",R2276830,1285
457,2062 Primrose Street,2,4,"$729,900",R2276747,2503
458,448-2750 Fairlane Street,2,2,"$369,000",R2276373,1040
459,8-3087 Immel Street,3,3,"$474,900",R2276757,1627
460,104-33328 E Bourquin Crescent,2,2,"$419,999",R2276951,1014
461,3543 Thurston Place,6,9,"$1,199,999",R2276814,4960
462,36004 Empress Lane,5,5,"$1,298,800",House,4616
463,35605 Kahana Place,4,5,"$1,380,000",R2276607,4202
464,1873 Viewgrove Place,6,5,"$1,248,000",R2276364,5642
465,2060 Riesling Drive,4,5,"$1,050,000",R2275855,3282
466,33-31517 Spur Avenue,3,4,"$619,900",R2275862,2869
467,110-33480 George Ferguson Way,2,2,"$338,800",R2276406,995
468,2167 Martens Street,5,8,"$1,149,000",R2276484,4413
469,412-2955 Diamond Crescent,2,2,"$398,700",R2276421,950
470,33794 Mayfair Avenue,2,4,"$799,500",R2275982,1677
471,5-35520 Mahogany Drive,3,3,"$1,090,000",R2276072,3768
472,93-32633 Simon Avenue,3,2,"$499,900",R2276363,1155
473,305-2451 Gladwin Road,2,2,"$360,000",R2276216,1414
474,335-32830 George Ferguson Way,2,2,"$279,900",R2275798,931
475,113-32725 George Ferguson Way,2,2,"$319,000",R2275536,893
476,3361 Trethewey Street,4,6,"$939,900",R2275843,3300
477,206-33728 King Road,2,2,"$324,900",R2275239,947
478,30482 Blueridge Drive,6,8,"$1,349,888",R2275305,4387
479,110-32145 Old Yale Road,2,2,"$362,000",R2274758,1304
480,2770 Baldwin Road,4,6,"$899,000",R2275366,3717
481,25-32959 George Ferguson Way,2,2,"$285,000",R2274310,1310
482,30-36060 Old Yale Road,3,3,"$469,000",R2273016,1370
483,211-31955 Old Yale Road,1,2,"$240,000",Apt/Condo,1092
484,2522 Campbell Avenue,2,4,"$695,700",R2275014,1422
485,E-2640 Larkspur Court,5,4,"$1,489,000",R2274993,5191
486,44-2525 Yale Court,4,4,"$635,000",R2275184,2671
487,210-33850 Fern Street,2,2,"$259,900",R2274912,1039
488,2284 Hillside Drive,2,3,"$1,150,000",R2275099,2015
489,27808 Quinton Avenue,3,4,"$2,390,000",R2274916,4044
490,34366 George Ferguson Way,2,3,"$748,888",R2274159,1600
491,16-32718 Garibaldi Drive,1,2,"$345,000",R2273694,1145
492,3622 Burnside Drive,3,4,"$778,000",R2274043,2100
493,207-2581 Langdon Street,2,2,"$335,000",R2274630,950
494,307-2626 Countess Street,2,2,"$349,900",R2274517,1124
495,2565 Railcar Crescent,5,6,"$1,199,000",R2274707,4325
496,2978 Glencoe Place,3,5,"$715,000",R2274643,2570
497,26-36060 Old Yale Road,3,3,"$467,000",R2274461,1441
498,2734 Interprovincial Highway,3,6,"$1,890,000",R2273964,3661
499,30891 Sandpiper Place,3,5,"$799,888",R2274692,2461
500,1824 Everett Road,4,5,"$988,800",R2274165,3340
501,27665 Railcar Crescent,6,7,"$1,189,000",R2274308,4477
502,73-31032 Westridge Place,2,2,"$480,000",R2274106,1232
503,206-30515 Cardinal Avenue,2,2,"$359,900",R2274061,862
